doc_id,POSSH1N_n,POSSH1S_s,POSSH1A_a,POSSH1V_v
1a,24.3339254,15.80817052,7.637655417,16.69626998
1b,23.42924251,14.03405755,6.165590135,17.32237228
1c,26.36695018,17.98298906,6.318347509,16.03888214
2a,21.50866463,14.84879375,6.897723411,18.04281346
2b,23.14566577,15.10277033,5.898123324,16.26452189
3a,27.97558494,16.07324517,6.968463886,15.56459817
3b,24.8416608,16.39690359,5.770584096,16.39690359
3c,28.10457516,16.33986928,3.921568627,15.03267974
3d,25.8719816,15.67650441,8.049060943,13.76006133
3e,25.48439182,16.57696448,7.508073197,13.77825619
4a,24.45690259,16.1177295,7.568325158,15.27680448
4b,25.26041667,16.05902778,7.291666667,17.10069444
4c,24.95812395,15.57788945,8.989391401,14.85203797
5a,21.03610675,16.9544741,5.965463108,17.42543171
5b,20.82670906,16.0572337,7.790143084,16.85214626
5c,23.3807267,15.63981043,7.582938389,17.06161137
5d,22.03389831,13.86748844,5.546995378,16.79506934
5f,22.93291732,17.16068643,7.176287051,14.66458658
5g,22.64150943,13.58490566,9.811320755,14.33962264
5h,21.36294028,13.39969372,3.598774885,20.06125574
5i,23.14375987,12.55924171,5.529225908,17.45655608
5j,23.14445331,15.16360734,8.140462889,16.12130886
2c,23.54484733,16.74618321,6.154580153,16.81774809
2d,24.75728155,17.47572816,7.443365696,14.4012945
