doc_id,PUNCT_fc,PUNCT_fp,PUNCT_fz,PUNCT_fra,PUNCT_frc,PUNCT_fd,PUNCT_fx,PUNCT_fit,PUNCT_fia,PUNCT_fat,PUNCT_faa,PUNCT_fpt,PUNCT_fpa,PUNCT_fg,PUNCT_fs
1a,5.846621109,3.416856492,0.379650721,0.987091875,0.759301443,1.442672741,0.607441154,0.303720577,0.303720577,0,0,0.303720577,0.151860289,0,0
1b,9.530651341,3.735632184,0.574712644,0.766283525,0.766283525,0.957854406,0.909961686,0.335249042,0.335249042,0.191570881,0.191570881,0.095785441,0.04789272,0,0
1c,7.259713701,4.192229039,1.124744376,0.408997955,0.408997955,1.022494888,0.102249489,0.306748466,0.306748466,0.306748466,0.306748466,0,0,0,0.102249489
2a,7.962328767,3.053652968,1.284246575,0.856164384,0.856164384,0.542237443,0.057077626,0.142694064,0.142694064,0.570776256,0.485159817,0.028538813,0.028538813,0,0
2b,7.975460123,2.22392638,0.766871166,0.996932515,0.996932515,0.306748466,0.153374233,0.076687117,0.076687117,0.306748466,0.153374233,0.076687117,0.076687117,0,0
3a,6.247288503,5.032537961,0.997830803,0.433839479,0.433839479,0.303687636,0.694143167,0.130151844,0.173535792,0.086767896,0.086767896,0.043383948,0.043383948,0,0
3b,5.297619048,4.166666667,1.547619048,0.297619048,0.297619048,0.416666667,1.607142857,0.178571429,0.178571429,0.654761905,0.654761905,0.05952381,0.05952381,0,0
3c,4.838709677,4.301075269,0,1.612903226,1.612903226,0,0,0.537634409,0.537634409,1.612903226,1.612903226,0.537634409,0.537634409,0,0
3d,5.951978356,3.280351708,0.033818059,0.405816706,0.371998647,0.067636118,0.946905648,0,0,0,0,0.067636118,0.067636118,0.541088941,0.033818059
3e,5.19138756,2.775119617,0.119617225,0.263157895,0.263157895,0.071770335,0.909090909,0.09569378,0.09569378,0,0,0.358851675,0.358851675,0.502392344,0.09569378
4a,4.394224733,2.950408035,1.192718142,0.188323917,0.188323917,0.251098556,0.062774639,0.439422473,0.439422473,0.125549278,0.125549278,0,0,0,0.062774639
4b,5.534204458,2.84396618,0.461183705,0.307455803,0.307455803,0.307455803,0.153727902,0.538047656,0.384319754,0.153727902,0.153727902,0.153727902,0.153727902,0,0
4c,4.884065121,3.108041441,1.134681796,0.641341885,0.690675876,0.345337938,0.394671929,0.049333991,0,0,0,0.246669956,0.148001973,0,0
5a,5.329593268,3.50631136,1.122019635,0.140252454,0.140252454,0.140252454,0.280504909,0,0,0,0,0,0,0,0
5b,4.710632571,2.960969044,1.34589502,1.615074024,1.615074024,0.269179004,0.403768506,1.211305518,1.211305518,0,0,0,0,0,0
5c,2.974504249,4.107648725,0.849858357,0.283286119,0.283286119,0.708215297,0,0.424929178,0.424929178,0.141643059,0.141643059,0,0,0,0
5d,3.448275862,3.862068966,0,0.827586207,0.827586207,0.137931034,0.137931034,0.689655172,0.551724138,0,0,0,0,0,0
5f,3.551136364,3.551136364,0.284090909,0.284090909,0.284090909,0.142045455,0,0.426136364,0.426136364,0,0,0,0,0,0
5g,8.794788274,3.25732899,0,0.325732899,0.325732899,0.651465798,0.325732899,0,0,0,0,0,0,0,0
5h,5.696594427,5.20123839,1.362229102,2.105263158,2.105263158,0.990712074,0.247678019,0.495356037,0.309597523,0.185758514,0.247678019,0.061919505,0.061919505,0,0.061919505
5i,5.570117955,4.390563565,1.965923984,1.376146789,1.376146789,0.262123198,0.262123198,0.524246396,0.524246396,0.262123198,0.262123198,0.131061599,0.131061599,0,0
5j,7.142857143,2.815934066,0.549450549,0.824175824,0.824175824,0.480769231,0.412087912,0.274725275,0.206043956,0.068681319,0.068681319,0.137362637,0.137362637,0,0
2c,7.100348861,2.359942541,0.923455777,0.820849579,0.7798071,0.554073466,0.184691155,0.369382311,0.348861071,0.102606197,0.061563718,0.184691155,0.184691155,0,0
2d,8.333333333,2.401129944,0.988700565,0.141242938,0.141242938,0,0.141242938,0.141242938,0.141242938,0,0,0.141242938,0.141242938,0,0
