doc_id,VOCAB_honore,VOCAB_brunet,VOCAB_sichel,VOCABBRUNET_brunet,VOCABHONORE_honore,VOCABSICHEL_sichel
1a,2486.696363,12.9540103,0.163355408,12.9540103,2486.696363,0.163355408
1b,2589.339184,13.17215944,0.136363636,13.17215944,2589.339184,0.136363636
1c,2373.267344,12.8525153,0.157142857,12.8525153,2373.267344,0.157142857
2a,2383.231177,13.32288696,0.159436009,13.32288696,2383.231177,0.159436009
2b,2315.615144,13.05972692,0.160633484,13.05972692,2315.615144,0.160633484
3a,3229.083604,12.33336131,0.132262052,12.33336131,3229.083604,0.132262052
3b,3196.177997,12.59548156,0.111864407,12.59548156,3196.177997,0.111864407
3c,2084.038567,11.10731987,0.114942529,11.10731987,2084.038567,0.114942529
3d,2459.058153,13.13741711,0.158803222,13.13741711,2459.058153,0.158803222
3e,2619.966463,13.10517369,0.143733567,13.10517369,2619.966463,0.143733567
4a,2419.473987,13.61340474,0.133874239,13.61340474,2419.473987,0.133874239
4b,2248.557931,13.26354383,0.160183066,13.26354383,2248.557931,0.160183066
4c,2105.347827,13.76636917,0.176165803,13.76636917,2105.347827,0.176165803
5a,2168.812371,13.14833242,0.164122137,13.14833242,2168.812371,0.164122137
5b,3278.593096,12.53510963,0.082758621,12.53510963,3278.593096,0.082758621
5c,2956.46561,12.84941048,0.094545455,12.84941048,2956.46561,0.094545455
5d,2657.826861,12.97700299,0.101818182,12.97700299,2657.826861,0.101818182
5f,2527.333907,13.1812141,0.095419847,13.1812141,2527.333907,0.095419847
5g,2461.645511,11.48389557,0.126666667,11.48389557,2461.645511,0.126666667
5h,2232.136452,13.73929189,0.147321429,13.73929189,2232.136452,0.147321429
5i,2586.100326,13.34418281,0.109207709,13.34418281,2586.100326,0.109207709
5j,3427.769649,12.47543198,0.101289134,12.47543198,3427.769649,0.101289134
2c,2322.970051,13.54788457,0.152645273,13.54788457,2322.970051,0.152645273
2d,2794.548769,12.50265594,0.108013937,12.50265594,2794.548769,0.108013937
