doc_id,LEXSL_sl_<10,LEXSL_sl_>51,LEXSL_sl_21-30,LEXSL_sl_31-40,LEXSL_sl_11-20,LEXSL_sl_41-50
231,14.2857142857,38.0952380952,23.8095238095,14.2857142857,9.52380952381,0
232,4.6511627907,23.2558139535,27.9069767442,18.6046511628,18.6046511628,6.97674418605
233,10.2040816327,12.2448979592,24.4897959184,22.4489795918,16.3265306122,14.2857142857
234,23.0769230769,15.3846153846,23.0769230769,15.3846153846,15.3846153846,7.69230769231
235,25,5.55555555556,16.6666666667,16.6666666667,25,11.1111111111
236,12.2807017544,31.5789473684,8.77192982456,24.5614035088,12.2807017544,10.5263157895
237,4.16666666667,29.1666666667,16.6666666667,25,8.33333333333,16.6666666667
238,51.3736263736,2.1978021978,12.6373626374,6.31868131868,25.2747252747,2.1978021978
239,35.4166666667,17.7083333333,14.0625,9.375,15.1041666667,8.33333333333
