doc_id,POSSH1_n,POSSH1_v,POSSH1_d,POSSH1_s,POSSH1_p,POSSH1_c,POSSH1_a,POSSH1_r,POSSH1_z,POSSH1_w,POSSH1_i
231,27.3104880582,13.4994807892,19.4184839045,14.4340602285,6.02284527518,6.95742471443,7.47663551402,3.63447559709,0.623052959502,0.519210799585,0.103842159917
232,18.8655194391,17.3996175908,16.5710643722,16.6347992352,9.05035054175,8.34926704908,6.373486297,6.24601657106,0.25493945188,0.25493945188,0
233,22.6152874289,15.2874289324,17.624763108,14.8452305749,8.40176879343,6.82248894504,7.32785849653,6.38029058749,0.631711939356,0.0631711939356,0
234,20.6241519674,16.5535956581,14.5183175034,16.5535956581,11.1261872456,9.90502035278,5.83446404342,4.74898236092,0.135685210312,0,0
235,17.9122182681,18.6239620403,16.1328588375,13.8790035587,10.7947805457,8.65954922894,5.81257413998,8.06642941874,0.11862396204,0,0
236,25.7142857143,12.3963133641,18.1105990783,15.9447004608,5.85253456221,6.49769585253,8.84792626728,5.52995391705,0.829493087558,0.230414746544,0.0460829493088
237,24.9753208292,13.4254689042,16.0908193485,15.695952616,5.42941757157,7.00888450148,10.5626850938,5.23198420533,1.57946692991,0,0
238,15.7843707582,24.1419429901,11.6734535583,11.2080667054,15.9201085903,9.3853015319,2.71475664146,8.7260034904,0.213302307543,0.0193911188676,0.213302307543
239,19.2852326365,18.9817936615,16.1834120027,13.1321645314,10.28320971,10.4686446392,4.1975724882,6.60822656777,0.455158462576,0.202292650034,0.202292650034
