doc_id,POSEND_n::</s>,POSEND_a::</s>,POSEND_v::</s>,POSEND_p::</s>,POSEND_r::</s>,POSEND_z::</s>,POSEND_w::</s>,POSEND_i::</s>,POSEND_d::</s>,POSEND_<s>::</s>
68781,2.47651579846,0.768573868488,0.341588385995,0.170794192997,0,0,0.0853970964987,0,0,0
68783,2.96254891001,0.72666294019,0.558971492454,0.279485746227,0.223588596982,0,0,0.0558971492454,0,0
68785,2.65282583622,1.15340253749,0.692041522491,0.346020761246,0.230680507497,0,0,0,0,0
68787,2.67779705117,0.776958658572,0.433651344319,0.21682567216,0.101185313674,0.101185313674,0.0397513732293,0.00361376120266,0.00722752240532,0
68793,1.95886385896,0.783545543585,0.457068233758,0.228534116879,0.35912504081,0.0326477309827,0.0326477309827,0.0326477309827,0.0326477309827,0
68795,1.73913043478,0.434782608696,0.173913043478,0.0869565217391,0.0869565217391,0,0.173913043478,0,0,0
68797,3.56798457088,0.771456123433,0.433944069431,0.192864030858,0.144648023144,0,0.0482160077146,0.0482160077146,0,0
68799,3.9254823686,0.665335994677,0.399201596806,0.133067198935,0.266134397871,0.0665335994677,0,0,0,0
68801,4.90797546012,0,0,0.613496932515,0,0,0.613496932515,0,0,0
68803,2.25424981523,0.665188470067,0.369549150037,0.147819660015,0.0739098300074,0.0739098300074,0,0,0,0
68805,2.00729927007,0.729927007299,0.156412930136,0.0782064650678,0.104275286757,0.0521376433785,0,0,0,0
68807,2.56237356709,0.674308833446,0.134861766689,0.202292650034,0.0674308833446,0.0674308833446,0,0.0674308833446,0,0
68809,2.09030100334,1.08695652174,0.250836120401,0.0836120401338,0.167224080268,0,0,0,0,0
68811,1.94174757282,0.862998921251,0.431499460626,0.107874865156,0.0539374325782,0,0,0,0,0
68813,2.26586102719,0.755287009063,0.453172205438,0.302114803625,0,0,0,0,0,0
68815,2.12765957447,1.6717325228,0.303951367781,0.303951367781,0,0,0,0,0,0
68817,2.85714285714,0.751879699248,0.902255639098,0.15037593985,0,0,0,0,0.15037593985,0
68819,2.79001468429,0.734214390602,0.881057268722,0.14684287812,0.14684287812,0,0,0,0,0
68821,1.49476831091,2.09267563528,0.448430493274,0,0.149476831091,0,0,0,0,0
68823,2.90909090909,0.727272727273,0,0,0,0,0,0,0,0
68825,2.94751976995,0.647016534867,1.22214234364,0.143781452193,0.431344356578,0.647016534867,0,0.0718907260963,0,0
68827,2.83370618941,0.969425801641,0.820283370619,0.372856077554,0.447427293065,0.149142431022,0,0,0,0
68829,1.92901234568,1.00308641975,0.231481481481,0.154320987654,0,0,0,0,0,0
68831,1.48802604046,0.465008137642,0.255754475703,0.0930016275285,0.116252034411,0.0232504068821,0.0465008137642,0,0.0232504068821,0.0232504068821
68833,1.8927444795,0.315457413249,0.157728706625,0,0.157728706625,0,0,0,0,0
